City,Revenue per Person,Expenditure per Person,Expenditure to Revenue Ratio,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
Olean,"$1,924.07","$1,879.67",0.98,4.08,4.87,8.26,11.01,8.74,8.08,11.04,5.69,11.90,11.76,11.46,9.36,5.21,5.07,4.71,7.51,175.63,151.71,82.65
Peekskill,"$1,927.17","$1,879.88",0.98,7.65,9.12,15.49,22.01,17.48,15.15,20.71,10.66,22.31,22.54,22.92,17.54,9.77,9.51,8.85,14.11,175.91,151.73,82.52
Rome,"$1,888.41","$1,859.85",0.98,9.44,11.25,18.59,22.01,17.48,18.69,25.54,13.03,27.52,29.40,22.92,21.64,11.73,11.73,10.77,17.33,172.37,150.11,83.32
North Tonawanda,"$1,919.02","$1,892.64",0.99,9.18,10.95,18.59,22.01,17.48,18.18,24.85,12.80,26.77,29.40,22.92,21.05,11.73,11.41,10.53,16.98,175.16,152.76,83.44
Port Jervis,"$1,872.83","$1,838.15",0.98,2.55,3.04,5.16,5.50,5.24,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.93,4.70,170.95,148.36,83.03
Long Beach,"$1,892.04","$1,860.51",0.98,10.46,12.47,21.06,27.52,17.48,20.71,28.30,14.46,30.49,29.40,28.66,23.97,13.29,13.00,11.95,19.20,172.70,150.17,83.19
Lackawanna,"$1,871.58","$1,861.43",0.99,5.87,7.00,11.77,16.51,8.74,11.62,15.88,8.06,17.11,19.60,17.19,13.45,7.43,7.29,6.68,10.86,170.83,150.24,84.14
Mechanicville,"$1,928.75","$2,952.17",1.53,1.53,1.82,3.10,5.50,3.50,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.77,4.44,176.05,238.28,129.49
Rensselaer,"$1,930.00","$1,897.28",0.98,2.81,3.35,5.58,5.50,5.24,5.56,7.59,3.79,8.18,8.82,5.73,6.43,3.52,3.49,3.20,5.15,176.17,153.13,83.16
Oneonta,"$1,896.66","$1,849.83",0.98,3.83,4.56,7.64,11.01,7.87,7.58,10.35,5.21,11.16,10.78,11.46,8.77,4.82,4.75,4.40,7.01,173.12,149.30,82.51
Ogdensburg,"$1,885.14","$1,846.27",0.98,3.06,3.65,6.20,5.50,6.12,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.51,5.62,172.07,149.02,82.85
Oneida,"$1,861.63","$1,823.24",0.98,3.06,3.65,6.20,5.50,6.12,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.51,5.62,169.93,147.16,82.85
Norwich,"$1,914.02","$2,929.92",1.53,2.04,2.43,4.13,5.50,4.37,4.04,5.52,2.84,5.95,5.88,5.73,4.68,2.61,25.36,2.35,5.89,174.71,236.48,129.50
Sherrill,"$2,152.64","$3,261.58",1.52,1.02,1.22,2.07,5.50,2.62,2.02,2.76,1.42,2.97,2.94,5.73,2.34,1.30,12.68,1.19,2.96,196.49,263.25,128.18
Salamanca,"$2,022.55","$3,105.42",1.54,1.79,2.13,3.51,5.50,3.50,3.54,4.83,2.49,5.21,4.90,5.73,4.09,2.21,22.19,2.05,5.13,184.61,250.65,129.89
Tonawanda,"$1,941.16","$1,907.81",0.98,4.59,5.47,9.29,11.01,8.74,9.09,12.42,6.40,13.39,13.72,11.46,10.53,5.86,5.71,5.27,8.46,177.19,153.98,83.14
Hudson,"$1,936.59","$2,973.44",1.54,1.79,2.13,3.51,5.50,3.50,3.54,4.83,2.49,5.21,4.90,5.73,4.09,2.21,22.19,2.05,5.13,176.77,239.99,129.89
Auburn,"$1,925.65","$1,875.98",0.97,7.91,9.43,15.90,22.01,17.48,15.66,21.40,10.90,23.05,22.54,22.92,18.13,10.03,9.83,9.12,14.52,175.77,151.41,82.42
Little Falls,"$1,762.40","$2,708.88",1.54,1.28,1.52,2.48,5.50,2.62,2.53,3.45,1.78,3.72,3.92,5.73,2.92,1.56,15.85,1.47,3.68,160.87,218.64,130.03
Johnstown,"$1,995.57","$1,958.61",0.98,2.55,3.04,5.16,5.50,5.24,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.93,4.70,182.15,158.08,83.03
Wichita,$655.99,$635.41,0.97,40.70,48.56,82.40,110.07,104.87,80.61,110.09,56.64,118.25,117.61,114.62,93.27,51.98,50.40,47.32,74.90,59.88,51.29,81.94
Overland Park,$925.02,$895.18,0.97,28.49,33.96,57.62,77.05,73.41,56.37,76.96,39.58,82.55,82.33,80.24,65.20,36.35,35.19,33.11,52.36,84.43,72.25,81.87
Kansas City,$856.44,$830.29,0.97,20.40,24.33,41.30,55.03,52.44,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.71,37.57,78.17,67.02,82.01
Olathe,$849.34,$823.04,0.97,19.13,22.81,38.62,49.53,48.94,37.88,51.77,26.54,55.78,54.89,51.58,43.86,24.36,23.77,22.21,35.17,77.53,66.43,81.98
Topeka,$844.69,$818.49,0.97,16.58,19.77,33.45,44.03,42.82,32.83,44.87,22.99,48.34,48.02,45.85,38.01,21.11,20.60,19.26,30.50,77.10,66.06,81.97
Lawrence,$854.26,$828.16,0.97,12.75,15.21,25.81,33.02,32.34,25.25,34.51,17.77,37.19,36.26,34.39,29.24,16.29,15.85,14.81,23.46,77.98,66.84,82.01
Shawnee,$833.48,$807.25,0.97,8.93,10.64,17.97,22.01,22.72,17.68,24.16,12.32,26.03,25.48,22.92,20.47,11.33,11.09,10.35,16.39,76.08,65.16,81.94
Lenexa,$856.72,$829.69,0.97,7.91,9.43,15.90,22.01,20.10,15.66,21.40,10.90,23.05,22.54,22.92,18.13,10.03,9.83,9.18,14.52,78.20,66.97,81.93
Manhattan,$847.33,$821.43,0.97,7.14,8.52,14.46,16.51,18.35,14.14,19.33,9.95,20.82,20.58,17.19,16.37,9.12,8.88,8.29,13.13,77.34,66.30,82.01
Salina,$848.17,$822.27,0.97,6.12,7.30,12.39,16.51,15.73,12.12,16.57,8.53,17.85,17.64,17.19,14.03,7.82,7.61,7.11,11.27,77.42,66.37,82.01
Hutchinson,$827.51,$802.21,0.97,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,75.53,64.75,82.01
Leavenworth,$829.96,$803.19,0.97,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,75.76,64.83,81.87
Leawood,$871.29,$844.62,0.97,4.59,5.47,9.29,11.01,11.36,9.09,12.42,6.40,13.39,12.74,11.46,10.53,5.86,5.71,5.32,8.43,79.53,68.17,82.01
Garden City,$829.89,$804.52,0.97,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,75.75,64.94,82.01
Dodge City,$852.16,$826.11,0.97,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,77.78,66.68,82.01
Emporia,$816.36,$791.37,0.97,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,74.52,63.87,82.01
Junction City,$801.54,$774.67,0.97,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,73.16,62.53,81.76
Derby,$821.16,$794.17,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,74.95,64.10,81.82
Prairie Village,$845.59,$819.71,0.97,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,77.18,66.16,82.01
Hays,$855.76,$827.08,0.97,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,78.11,66.76,81.76
Pittsburg,$809.24,$784.57,0.97,2.55,3.04,5.16,5.50,6.99,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.97,4.70,73.87,63.32,82.02
Newton,$792.54,"$1,202.29",1.52,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,6.69,6.86,5.73,5.26,2.87,28.53,2.66,6.60,72.34,97.04,128.34
Gardner,$809.72,$784.93,0.97,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,73.91,63.35,82.01
Ottawa,$784.16,"$1,188.12",1.52,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,71.58,95.90,128.18
Lansing,$852.20,"$1,291.21",1.52,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,77.79,104.22,128.18
Atchison,$769.52,"$1,168.36",1.52,1.28,1.52,2.48,5.50,3.50,2.53,3.45,1.78,3.72,3.92,5.73,2.92,1.56,15.85,1.48,3.68,70.24,94.30,128.44
Winfield,$840.62,"$1,273.67",1.52,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,76.73,102.80,128.18
Coffeyville,$760.54,"$1,152.34",1.52,1.02,1.22,2.07,5.50,2.62,2.02,2.76,1.42,2.97,2.94,5.73,2.34,1.30,12.68,1.19,2.96,69.42,93.01,128.18
Concordia,$977.10,"$1,480.46",1.52,0.77,0.91,1.55,5.50,1.75,1.52,2.07,1.07,2.23,1.96,5.73,1.75,0.98,9.51,0.90,2.22,89.19,119.49,128.18
Arkansas City,$835.30,"$1,265.61",1.52,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,76.24,102.15,128.18
Milwaukee,"$1,133.40","$1,098.71",0.97,99.20,118.31,200.73,269.66,255.19,196.47,268.51,138.17,289.30,286.19,280.82,227.47,126.63,123.31,115.30,182.66,103.45,88.68,82.01
Madison,"$1,168.55","$1,131.90",0.97,49.68,59.21,100.57,132.08,127.59,98.39,134.25,69.20,144.28,143.09,137.55,113.73,63.45,61.50,57.72,91.37,106.66,91.36,81.95
Green Bay,$844.37,$818.10,0.97,14.03,16.73,28.29,38.52,35.83,27.78,37.96,19.43,40.90,40.18,40.12,32.16,17.85,17.43,16.29,25.79,77.07,66.03,81.97
Kenosha,$841.69,$815.45,0.97,13.01,15.51,26.23,33.02,33.21,25.76,35.20,18.01,37.93,37.24,34.39,29.82,16.55,16.17,15.10,23.90,76.83,65.82,81.96
Racine,$833.65,$807.52,0.97,9.95,11.86,20.03,27.52,25.34,19.70,26.92,13.75,29.00,28.42,28.66,22.81,12.64,12.36,11.55,18.28,76.09,65.18,81.95
Appleton,$829.33,$804.00,0.97,9.69,11.56,19.62,27.52,24.47,19.19,26.23,13.51,28.26,27.44,28.66,22.22,12.38,12.05,11.26,17.84,75.70,64.89,82.01
Waukesha,$827.74,$802.44,0.97,9.18,10.95,18.59,22.01,23.60,18.18,24.85,12.80,26.77,26.46,22.92,21.05,11.73,11.41,10.66,16.89,75.55,64.77,82.01
Eau Claire,$826.79,$800.77,0.97,8.93,10.64,17.97,22.01,22.72,17.68,24.16,12.32,26.03,25.48,22.92,20.47,11.33,11.09,10.35,16.39,75.47,64.63,81.94
Oshkosh,$832.61,$807.15,0.97,8.67,10.34,17.55,22.01,21.85,17.17,23.47,12.09,25.29,24.50,22.92,19.88,11.07,10.78,10.06,15.94,76.00,65.15,82.01
Janesville,$821.51,$795.64,0.97,8.42,10.04,16.93,22.01,21.85,16.67,22.78,11.61,24.54,24.50,22.92,19.30,10.68,10.46,9.77,15.47,74.99,64.22,81.93
La Crosse,$824.17,$798.96,0.97,6.63,7.91,13.42,16.51,16.60,13.13,17.95,9.24,19.34,18.62,17.19,15.20,8.47,8.24,7.69,12.19,75.23,64.49,82.01
Sheboygan,$820.53,$794.45,0.97,6.38,7.60,12.80,16.51,16.60,12.63,17.26,8.77,18.59,18.62,17.19,14.62,8.08,7.92,7.40,11.71,74.90,64.12,81.91
Wauwatosa,$822.19,$797.09,0.97,6.12,7.30,12.39,16.51,15.73,12.12,16.57,8.53,17.85,17.64,17.19,14.03,7.82,7.61,7.11,11.27,75.05,64.33,82.01
Fond du Lac,$841.58,$814.72,0.97,5.87,7.00,11.77,16.51,14.86,11.62,15.88,8.06,17.11,16.66,17.19,13.45,7.43,7.29,6.81,10.77,76.82,65.76,81.90
New Berlin,$808.39,$783.66,0.97,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,73.79,63.25,82.01
West Allis,$830.33,$804.97,0.97,7.65,9.12,15.49,22.01,19.23,15.15,20.71,10.66,22.31,21.56,22.92,17.54,9.77,9.51,8.89,14.08,75.79,64.97,82.01
Beloit,$846.79,$819.47,0.97,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,77.29,66.14,81.87
Brookfield,$829.64,$803.11,0.97,5.36,6.39,10.74,16.51,13.98,10.61,14.50,7.35,15.62,15.68,17.19,12.28,6.77,6.66,6.23,9.85,75.73,64.82,81.89
Menomonee Falls,$840.49,$814.78,0.97,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,76.72,65.76,82.01
West Bend,$826.52,$801.29,0.97,4.08,4.87,8.26,11.01,10.49,8.08,11.04,5.69,11.90,11.76,11.46,9.36,5.21,5.07,4.74,7.51,75.44,64.67,82.01
Sun Prairie,$848.62,$821.24,0.97,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,77.46,66.28,81.87
Stevens Point,$835.23,$807.78,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,76.24,65.20,81.82
Superior,$804.84,$778.39,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,73.46,62.83,81.82
Neenah,$828.84,$803.50,0.97,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,75.65,64.85,82.01
De Pere,$840.73,$813.10,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,76.74,65.63,81.82
Muskego,$847.09,$819.25,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,77.32,66.12,81.82
Mequon,$847.19,$819.35,0.97,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,77.33,66.13,81.82
Oconomowoc,$782.00,"$1,617.19",2.07,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,66.93,6.86,5.73,5.26,2.87,28.53,2.66,8.99,71.38,130.53,174.95
Watertown,$793.51,$766.91,0.97,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,72.43,61.90,81.76
Wisconsin Rapids,$808.40,"$1,671.80",2.07,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,66.93,6.86,5.73,5.26,2.87,28.53,2.66,8.99,73.79,134.94,174.95
Miami,"$1,110.98","$1,076.94",0.97,77.78,92.76,157.36,209.13,200.13,154.04,210.53,108.31,226.83,224.44,217.78,178.35,99.27,96.68,90.40,143.20,101.41,86.92,82.01
Tampa,"$1,027.95",$996.55,0.97,63.75,76.04,129.07,170.60,163.43,126.27,172.56,88.87,185.93,183.28,177.66,146.19,81.43,79.25,74.09,117.37,93.83,80.43,82.01
Orlando,"$1,036.13","$1,004.49",0.97,51.00,60.83,103.25,137.58,131.09,101.01,138.05,71.10,148.74,147.01,143.28,116.95,65.14,63.40,59.28,93.92,94.58,81.07,82.01
Jacksonville,"$1,011.51",$980.63,0.97,153.01,182.48,309.76,412.75,393.27,303.04,414.15,213.30,446.23,441.04,429.83,350.85,195.42,190.19,177.84,281.75,92.33,79.15,82.01
St. Petersburg,"$1,045.92","$1,013.97",0.97,43.35,51.70,87.77,115.57,110.99,85.86,117.34,60.43,126.43,124.47,120.35,99.41,55.37,53.89,50.38,79.81,95.47,81.84,82.01
Hialeah,"$1,039.50","$1,007.76",0.97,35.70,42.58,72.28,93.56,91.76,70.71,96.64,49.77,104.12,102.91,97.43,81.86,45.60,44.38,41.49,65.73,94.88,81.34,82.01
Tallahassee,"$1,049.67","$1,017.60",0.97,33.15,39.54,67.12,88.05,84.77,65.66,89.73,46.21,96.68,95.07,91.70,76.02,42.34,41.21,38.52,61.02,95.81,82.13,82.01
Fort Lauderdale,"$1,072.91","$1,040.15",0.97,30.60,36.50,61.95,82.55,78.65,60.61,82.83,42.66,89.25,88.21,85.97,70.17,39.08,38.04,35.57,56.35,97.93,83.95,82.01
Cape Coral,"$1,056.26","$1,024.00",0.97,35.70,42.58,72.28,93.56,91.76,70.71,96.64,49.77,104.12,102.91,97.43,81.86,45.60,44.38,41.49,65.73,96.41,82.65,82.01
Pembroke Pines,"$1,052.12","$1,019.99",0.97,28.05,33.46,56.79,77.05,71.66,55.56,75.93,39.10,81.81,80.37,80.24,64.32,35.83,34.87,32.60,51.65,96.04,82.33,82.01
Hollywood,"$1,069.02","$1,036.37",0.97,25.50,30.41,51.63,66.04,65.55,50.51,69.03,35.55,74.37,73.51,68.77,58.47,32.57,31.70,29.63,46.94,97.58,83.65,82.01
Gainesville,"$1,070.83","$1,037.78",0.97,24.23,28.89,48.94,66.04,62.05,47.98,65.57,33.65,70.65,69.59,68.77,55.55,30.88,30.11,28.15,44.58,97.74,83.76,81.99
Miramar,"$1,074.15","$1,041.33",0.97,22.95,27.37,46.46,60.54,58.55,45.46,62.12,31.99,66.93,65.67,63.04,52.63,29.31,28.53,26.66,42.24,98.05,84.05,82.01
Coral Springs,"$1,074.17","$1,040.98",0.97,22.19,26.46,44.81,60.54,56.81,43.94,60.05,30.81,64.70,63.71,63.04,50.87,28.27,27.58,25.78,40.82,98.05,84.02,81.98
Clearwater,"$1,063.00","$1,030.53",0.97,19.38,23.11,39.24,49.53,49.81,38.38,52.46,27.02,56.52,55.87,51.58,44.44,24.75,24.09,22.52,35.67,97.03,83.18,82.01
Palm Bay,"$1,076.75","$1,043.46",0.97,21.68,25.85,43.78,60.54,55.06,42.93,58.67,30.10,63.22,61.75,63.04,49.70,27.62,26.94,25.18,39.87,98.28,84.22,81.98
West Palm Beach,"$1,069.46","$1,036.39",0.97,20.66,24.64,41.71,55.03,53.31,40.91,55.91,28.68,60.24,59.79,57.31,47.36,26.32,25.68,24.00,38.01,97.62,83.65,81.98
Lakeland,"$1,066.22","$1,033.65",0.97,19.38,23.11,39.24,49.53,49.81,38.38,52.46,27.02,56.52,55.87,51.58,44.44,24.75,24.09,22.52,35.67,97.32,83.43,82.01
Pompano Beach,"$1,059.83","$1,027.01",0.97,18.62,22.20,37.58,49.53,48.07,36.87,50.39,25.83,54.29,53.91,51.58,42.69,23.71,23.14,21.63,34.25,96.74,82.89,81.98
Miami Gardens,"$1,067.00","$1,034.42",0.97,18.36,21.90,37.17,49.53,47.19,36.36,49.70,25.60,53.55,52.93,51.58,42.10,23.45,22.82,21.34,33.81,97.39,83.49,82.01
Davie,"$1,060.90","$1,028.04",0.97,17.60,20.99,35.52,49.53,45.44,34.85,47.63,24.41,51.32,50.97,51.58,40.35,22.41,21.87,20.45,32.39,96.84,82.98,81.98
Sunrise,"$1,057.06","$1,024.25",0.97,16.07,19.16,32.42,44.03,41.07,31.82,43.49,22.28,46.85,46.06,45.85,36.84,20.45,19.97,18.66,29.55,96.49,82.67,81.97
Plantation,"$1,065.21","$1,032.68",0.97,15.81,18.86,32.01,44.03,40.20,31.31,42.80,22.04,46.11,45.08,45.85,36.25,20.19,19.65,18.37,29.11,97.23,83.35,82.01
Boca Raton,"$1,053.81","$1,021.13",0.97,16.58,19.77,33.45,44.03,42.82,32.83,44.87,22.99,48.34,48.02,45.85,38.01,21.11,20.60,19.26,30.50,96.19,82.42,81.97
Deltona,"$1,066.38","$1,033.81",0.97,15.81,18.86,32.01,44.03,40.20,31.31,42.80,22.04,46.11,45.08,45.85,36.25,20.19,19.65,18.37,29.11,97.34,83.44,82.01
Largo,"$1,065.72","$1,033.16",0.97,13.77,16.42,27.88,38.52,34.96,27.27,37.27,19.20,40.16,39.20,40.12,31.58,17.59,17.12,16.00,25.35,97.28,83.39,82.01
Melbourne,"$1,057.15","$1,024.87",0.97,14.28,17.03,28.91,38.52,36.71,28.28,38.65,19.91,41.65,41.16,40.12,32.75,18.24,17.75,16.60,26.30,96.49,82.72,82.01
Homestead,"$1,058.37","$1,026.03",0.97,13.26,15.82,26.85,33.02,34.08,26.26,35.89,18.49,38.67,38.22,34.39,30.41,16.94,16.48,15.40,24.40,96.61,82.81,82.01
Kissimmee,"$1,064.69","$1,032.17",0.97,13.26,15.82,26.85,33.02,34.08,26.26,35.89,18.49,38.67,38.22,34.39,30.41,16.94,16.48,15.40,24.40,97.18,83.31,82.01
Port St. Lucie,"$1,061.88","$1,029.46",0.97,38.25,45.62,77.44,104.56,97.88,75.76,103.54,53.32,111.56,109.77,108.89,87.71,48.86,47.55,44.46,70.43,96.93,83.09,82.01
Houston,$850.15,$824.19,0.97,302.96,361.32,613.33,817.24,778.68,600.02,820.02,422.33,883.53,873.27,851.07,694.68,386.93,376.58,352.13,557.86,77.60,66.52,82.01
Austin,$868.98,$842.45,0.97,132.61,158.15,268.46,357.72,340.83,262.63,358.93,184.86,386.73,382.24,372.52,304.07,169.36,164.84,154.13,244.18,79.32,68.00,82.01
San Antonio,$778.02,$754.26,0.97,178.51,212.90,361.39,481.54,458.82,353.55,483.18,248.85,520.60,514.55,501.47,409.32,227.99,221.89,207.48,328.71,71.02,60.88,82.01
Dallas,$819.04,$794.03,0.97,165.76,197.69,335.58,447.15,426.04,328.29,448.66,231.07,483.41,477.80,465.65,380.09,211.71,206.04,192.66,305.23,74.76,64.09,82.01
Fort Worth,$821.57,$796.48,0.97,122.41,145.99,247.81,330.20,314.62,242.43,331.32,170.64,356.98,352.84,343.87,280.68,156.34,152.16,142.28,225.40,74.99,64.29,82.01
El Paso,$820.10,$795.06,0.97,86.71,103.41,175.53,233.89,222.85,171.72,234.69,120.87,252.86,249.93,243.57,198.81,110.74,107.78,100.78,159.66,74.86,64.17,82.01
Arlington,$821.97,$796.88,0.97,51.00,60.83,103.25,137.58,131.09,101.01,138.05,71.10,148.74,147.01,143.28,116.95,65.14,63.40,59.28,93.92,75.03,64.32,82.01
Corpus Christi,$828.49,$803.19,0.97,40.80,48.66,82.60,110.07,104.87,80.81,110.44,56.88,118.99,117.61,114.62,93.56,52.11,50.72,47.43,75.13,75.62,64.83,82.01
Plano,$848.31,$822.41,0.97,38.25,45.62,77.44,103.19,98.32,75.76,103.54,53.32,111.56,110.26,107.46,87.71,48.86,47.55,44.46,70.44,77.43,66.38,82.01
Lubbock,$806.56,$781.93,0.97,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,73.62,63.11,82.01
Garland,$812.50,$787.69,0.97,30.60,36.50,61.95,82.55,78.65,60.61,82.83,42.66,89.25,88.21,85.97,70.17,39.08,38.04,35.57,56.35,74.16,63.58,82.01
Irving,$822.10,$797.00,0.97,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,75.04,64.33,82.01
Amarillo,$809.01,$784.31,0.97,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,73.84,63.30,82.01
Grand Prairie,$811.27,$786.50,0.97,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,74.05,63.48,82.01
Brownsville,$818.07,$793.09,0.97,24.23,28.89,49.05,65.35,62.27,47.98,65.57,33.77,70.65,69.83,68.06,55.55,30.94,30.11,28.16,44.61,74.67,64.01,82.01
