City,Population,Public Safety,Public Works,Parks & Rec.,Comm. & Econ. Dev.,Public Health,Public Safety per Person,Public Works per Person,Parks & Rec. per Person,Comm. & Econ. Dev. per Person,Public Health per Person,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
Kansas City,"152,958.00","$40,000,000.00","$16,000,000.00","$8,000,000.00","$6,000,000.00","$1,000,000.00",$261.51,$104.60,$52.30,$39.23,$6.54,20.40,24.33,41.30,55.03,52.44,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.71,37.57,78.17,67.02,82.01
Olathe,"144,465.00","$37,500,000.00","$15,000,000.00","$7,500,000.00","$5,600,000.00","$900,000.00",$259.58,$103.83,$51.92,$38.76,$6.23,19.13,22.81,38.62,49.53,48.94,37.88,51.77,26.54,55.78,54.89,51.58,43.86,24.36,23.77,22.21,35.17,77.53,66.43,81.98
Topeka,"125,963.00","$32,500,000.00","$13,000,000.00","$6,500,000.00","$4,900,000.00","$800,000.00",$258.01,$103.20,$51.60,$38.90,$6.35,16.58,19.77,33.45,44.03,42.82,32.83,44.87,22.99,48.34,48.02,45.85,38.01,21.11,20.60,19.26,30.50,77.10,66.06,81.97
Lawrence,"95,755.00","$25,000,000.00","$10,000,000.00","$5,000,000.00","$3,700,000.00","$600,000.00",$261.08,$104.43,$52.22,$38.64,$6.27,12.75,15.21,25.81,33.02,32.34,25.25,34.51,17.77,37.19,36.26,34.39,29.24,16.29,15.85,14.81,23.46,77.98,66.84,82.01
Shawnee,"68,628.00","$17,500,000.00","$7,000,000.00","$3,500,000.00","$2,600,000.00","$400,000.00",$255.00,$102.00,$51.00,$37.89,$5.83,8.93,10.64,17.97,22.01,22.72,17.68,24.16,12.32,26.03,25.48,22.92,20.47,11.33,11.09,10.35,16.39,76.08,65.16,81.94
Lenexa,"59,179.00","$15,500,000.00","$6,200,000.00","$3,100,000.00","$2,300,000.00","$400,000.00",$261.92,$104.77,$52.38,$38.87,$6.76,7.91,9.43,15.90,22.01,20.10,15.66,21.40,10.90,23.05,22.54,22.92,18.13,10.03,9.83,9.18,14.52,78.20,66.97,81.93
Manhattan,"54,052.00","$14,000,000.00","$5,600,000.00","$2,800,000.00","$2,100,000.00","$300,000.00",$259.01,$103.60,$51.80,$38.85,$5.55,7.14,8.52,14.46,16.51,18.35,14.14,19.33,9.95,20.82,20.58,17.19,16.37,9.12,8.88,8.29,13.13,77.34,66.30,82.01
Salina,"46,335.00","$12,000,000.00","$4,800,000.00","$2,400,000.00","$1,800,000.00","$300,000.00",$258.98,$103.59,$51.80,$38.85,$6.47,6.12,7.30,12.39,16.51,15.73,12.12,16.57,8.53,17.85,17.64,17.19,14.03,7.82,7.61,7.11,11.27,77.42,66.37,82.01
Hutchinson,"39,516.00","$10,000,000.00","$4,000,000.00","$2,000,000.00","$1,500,000.00","$200,000.00",$253.06,$101.22,$50.61,$37.96,$5.06,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,75.53,64.75,82.01
Leavenworth,"37,351.00","$9,500,000.00","$3,800,000.00","$1,900,000.00","$1,400,000.00","$200,000.00",$254.34,$101.74,$50.87,$37.48,$5.35,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,75.76,64.83,81.87
Leawood,"33,743.00","$9,000,000.00","$3,600,000.00","$1,800,000.00","$1,300,000.00","$200,000.00",$266.72,$106.69,$53.34,$38.53,$5.93,4.59,5.47,9.29,11.01,11.36,9.09,12.42,6.40,13.39,12.74,11.46,10.53,5.86,5.71,5.32,8.43,79.53,68.17,82.01
Garden City,"27,594.00","$7,000,000.00","$2,800,000.00","$1,400,000.00","$1,000,000.00","$200,000.00",$253.68,$101.47,$50.74,$36.24,$7.25,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,75.75,64.94,82.01
Dodge City,"26,873.00","$7,000,000.00","$2,800,000.00","$1,400,000.00","$1,000,000.00","$200,000.00",$260.48,$104.19,$52.10,$37.21,$7.44,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,77.78,66.68,82.01
Emporia,"24,009.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$100,000.00",$249.91,$99.96,$49.98,$37.49,$4.17,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,74.52,63.87,82.01
Junction City,"22,332.00","$5,500,000.00","$2,200,000.00","$1,100,000.00","$800,000.00","$100,000.00",$246.28,$98.51,$49.26,$35.82,$4.48,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,73.16,62.53,81.76
Derby,"25,939.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$250.59,$100.24,$50.12,$38.55,$7.71,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,74.95,64.10,81.82
Prairie Village,"23,179.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$100,000.00",$258.85,$103.54,$51.77,$38.83,$4.31,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,77.18,66.16,82.01
Hays,"20,917.00","$5,500,000.00","$2,200,000.00","$1,100,000.00","$800,000.00","$100,000.00",$262.94,$105.18,$52.59,$38.25,$4.78,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,78.11,66.76,81.76
Pittsburg,"20,266.00","$5,000,000.00","$2,000,000.00","$1,000,000.00","$800,000.00","$100,000.00",$246.72,$98.69,$49.34,$39.47,$4.93,2.55,3.04,5.16,5.50,6.99,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.97,4.70,73.87,63.32,82.02
Newton,"18,548.00","$4,500,000.00","$1,800,000.00","$900,000.00","$700,000.00","$100,000.00",$242.61,$97.05,$48.52,$37.74,$5.39,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,6.69,6.86,5.73,5.26,2.87,28.53,2.66,6.60,72.34,97.04,128.34
Gardner,"24,206.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$100,000.00",$247.87,$99.15,$49.57,$37.18,$4.13,3.06,3.65,6.20,5.50,7.87,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.55,5.62,73.91,63.35,82.01
Ottawa,"12,625.00","$3,000,000.00","$1,200,000.00","$600,000.00","$500,000.00","$100,000.00",$237.62,$95.05,$47.52,$39.60,$7.92,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,71.58,95.90,128.18
Lansing,"11,617.00","$3,000,000.00","$1,200,000.00","$600,000.00","$500,000.00","$100,000.00",$258.24,$103.30,$51.65,$43.04,$8.61,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,77.79,104.22,128.18
Atchison,"10,656.00","$2,500,000.00","$1,000,000.00","$500,000.00","$400,000.00","$100,000.00",$234.61,$93.84,$46.92,$37.54,$9.38,1.28,1.52,2.48,5.50,3.50,2.53,3.45,1.78,3.72,3.92,5.73,2.92,1.56,15.85,1.48,3.68,70.24,94.30,128.44
Winfield,"11,777.00","$3,000,000.00","$1,200,000.00","$600,000.00","$500,000.00","$100,000.00",$254.73,$101.89,$50.95,$42.46,$8.49,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,76.73,102.80,128.18
Coffeyville,"8,678.00","$2,000,000.00","$800,000.00","$400,000.00","$300,000.00","$100,000.00",$230.47,$92.19,$46.09,$34.57,$11.52,1.02,1.22,2.07,5.50,2.62,2.02,2.76,1.42,2.97,2.94,5.73,2.34,1.30,12.68,1.19,2.96,69.42,93.01,128.18
Concordia,"5,066.00","$1,500,000.00","$600,000.00","$300,000.00","$200,000.00","$100,000.00",$296.09,$118.44,$59.22,$39.48,$19.74,0.77,0.91,1.55,5.50,1.75,1.52,2.07,1.07,2.23,1.96,5.73,1.75,0.98,9.51,0.90,2.22,89.19,119.49,128.18
Arkansas City,"11,852.00","$3,000,000.00","$1,200,000.00","$600,000.00","$500,000.00","$100,000.00",$253.12,$101.25,$50.62,$42.19,$8.44,1.53,1.82,3.10,5.50,4.37,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.79,4.44,76.24,102.15,128.18
Milwaukee,"562,025.00","$194,500,000.00","$77,800,000.00","$38,900,000.00","$29,200,000.00","$4,900,000.00",$346.07,$138.43,$69.21,$51.95,$8.72,99.20,118.31,200.73,269.66,255.19,196.47,268.51,138.17,289.30,286.19,280.82,227.47,126.63,123.31,115.30,182.66,103.45,88.68,82.01
Madison,"272,903.00","$97,400,000.00","$38,900,000.00","$19,400,000.00","$14,600,000.00","$2,400,000.00",$356.90,$142.54,$71.09,$53.50,$8.79,49.68,59.21,100.57,132.08,127.59,98.39,134.25,69.20,144.28,143.09,137.55,113.73,63.45,61.50,57.72,91.37,106.66,91.36,81.95
Green Bay,"106,588.00","$27,500,000.00","$11,000,000.00","$5,500,000.00","$4,100,000.00","$700,000.00",$258.00,$103.20,$51.60,$38.47,$6.57,14.03,16.73,28.29,38.52,35.83,27.78,37.96,19.43,40.90,40.18,40.12,32.16,17.85,17.43,16.29,25.79,77.07,66.03,81.97
Kenosha,"99,086.00","$25,500,000.00","$10,200,000.00","$5,100,000.00","$3,800,000.00","$600,000.00",$257.35,$102.94,$51.47,$38.35,$6.06,13.01,15.51,26.23,33.02,33.21,25.76,35.20,18.01,37.93,37.24,34.39,29.82,16.55,16.17,15.10,23.90,76.83,65.82,81.96
Racine,"76,531.00","$19,500,000.00","$7,800,000.00","$3,900,000.00","$2,900,000.00","$500,000.00",$254.80,$101.92,$50.96,$37.89,$6.53,9.95,11.86,20.03,27.52,25.34,19.70,26.92,13.75,29.00,28.42,28.66,22.81,12.64,12.36,11.55,18.28,76.09,65.18,81.95
Appleton,"75,000.00","$19,000,000.00","$7,600,000.00","$3,800,000.00","$2,800,000.00","$500,000.00",$253.33,$101.33,$50.67,$37.33,$6.67,9.69,11.56,19.62,27.52,24.47,19.19,26.23,13.51,28.26,27.44,28.66,22.22,12.38,12.05,11.26,17.84,75.70,64.89,82.01
Waukesha,"71,158.00","$18,000,000.00","$7,200,000.00","$3,600,000.00","$2,700,000.00","$400,000.00",$252.96,$101.18,$50.59,$37.94,$5.62,9.18,10.95,18.59,22.01,23.60,18.18,24.85,12.80,26.77,26.46,22.92,21.05,11.73,11.41,10.66,16.89,75.55,64.77,82.01
Eau Claire,"69,183.00","$17,500,000.00","$7,000,000.00","$3,500,000.00","$2,600,000.00","$400,000.00",$252.95,$101.18,$50.59,$37.58,$5.78,8.93,10.64,17.97,22.01,22.72,17.68,24.16,12.32,26.03,25.48,22.92,20.47,11.33,11.09,10.35,16.39,75.47,64.63,81.94
Oshkosh,"66,778.00","$17,000,000.00","$6,800,000.00","$3,400,000.00","$2,500,000.00","$400,000.00",$254.57,$101.83,$50.91,$37.44,$5.99,8.67,10.34,17.55,22.01,21.85,17.17,23.47,12.09,25.29,24.50,22.92,19.88,11.07,10.78,10.06,15.94,76.00,65.15,82.01
Janesville,"65,733.00","$16,500,000.00","$6,600,000.00","$3,300,000.00","$2,500,000.00","$400,000.00",$251.02,$100.41,$50.20,$38.03,$6.09,8.42,10.04,16.93,22.01,21.85,16.67,22.78,11.61,24.54,24.50,22.92,19.30,10.68,10.46,9.77,15.47,74.99,64.22,81.93
La Crosse,"51,567.00","$13,000,000.00","$5,200,000.00","$2,600,000.00","$1,900,000.00","$300,000.00",$252.10,$100.84,$50.42,$36.85,$5.82,6.63,7.91,13.42,16.51,16.60,13.13,17.95,9.24,19.34,18.62,17.19,15.20,8.47,8.24,7.69,12.19,75.23,64.49,82.01
Sheboygan,"49,846.00","$12,500,000.00","$5,000,000.00","$2,500,000.00","$1,900,000.00","$300,000.00",$250.77,$100.31,$50.15,$38.12,$6.02,6.38,7.60,12.80,16.51,16.60,12.63,17.26,8.77,18.59,18.62,17.19,14.62,8.08,7.92,7.40,11.71,74.90,64.12,81.91
Wauwatosa,"47,799.00","$12,000,000.00","$4,800,000.00","$2,400,000.00","$1,800,000.00","$300,000.00",$251.05,$100.42,$50.21,$37.66,$6.28,6.12,7.30,12.39,16.51,15.73,12.12,16.57,8.53,17.85,17.64,17.19,14.03,7.82,7.61,7.11,11.27,75.05,64.33,82.01
Fond du Lac,"44,678.00","$11,500,000.00","$4,600,000.00","$2,300,000.00","$1,700,000.00","$300,000.00",$257.40,$102.96,$51.48,$38.05,$6.71,5.87,7.00,11.77,16.51,14.86,11.62,15.88,8.06,17.11,16.66,17.19,13.45,7.43,7.29,6.81,10.77,76.82,65.76,81.90
New Berlin,"40,451.00","$10,000,000.00","$4,000,000.00","$2,000,000.00","$1,500,000.00","$200,000.00",$247.21,$98.89,$49.44,$37.08,$4.94,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,73.79,63.25,82.01
West Allis,"59,133.00","$15,000,000.00","$6,000,000.00","$3,000,000.00","$2,200,000.00","$400,000.00",$253.67,$101.47,$50.73,$37.20,$6.76,7.65,9.12,15.49,22.01,19.23,15.15,20.71,10.66,22.31,21.56,22.92,17.54,9.77,9.51,8.89,14.08,75.79,64.97,82.01
Beloit,"36,609.00","$9,500,000.00","$3,800,000.00","$1,900,000.00","$1,400,000.00","$200,000.00",$259.50,$103.80,$51.90,$38.24,$5.46,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,77.29,66.14,81.87
Brookfield,"41,464.00","$10,500,000.00","$4,200,000.00","$2,100,000.00","$1,600,000.00","$300,000.00",$253.23,$101.29,$50.65,$38.59,$7.24,5.36,6.39,10.74,16.51,13.98,10.61,14.50,7.35,15.62,15.68,17.19,12.28,6.77,6.66,6.23,9.85,75.73,64.82,81.89
Menomonee Falls,"38,906.00","$10,000,000.00","$4,000,000.00","$2,000,000.00","$1,500,000.00","$200,000.00",$257.03,$102.81,$51.41,$38.55,$5.14,5.10,6.08,10.33,11.01,13.11,10.10,13.81,7.11,14.87,14.70,11.46,11.69,6.51,6.34,5.92,9.38,76.72,65.76,82.01
West Bend,"31,699.00","$8,000,000.00","$3,200,000.00","$1,600,000.00","$1,200,000.00","$200,000.00",$252.37,$100.95,$50.47,$37.86,$6.31,4.08,4.87,8.26,11.01,10.49,8.08,11.04,5.69,11.90,11.76,11.46,9.36,5.21,5.07,4.74,7.51,75.44,64.67,82.01
Sun Prairie,"36,530.00","$9,500,000.00","$3,800,000.00","$1,900,000.00","$1,400,000.00","$200,000.00",$260.06,$104.02,$52.01,$38.32,$5.47,4.85,5.78,9.71,11.01,12.24,9.60,13.11,6.64,14.13,13.72,11.46,11.11,6.12,6.02,5.61,8.87,77.46,66.28,81.87
Stevens Point,"25,502.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$254.88,$101.95,$50.98,$39.21,$7.84,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,76.24,65.20,81.82
Superior,"26,465.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$245.61,$98.24,$49.12,$37.79,$7.56,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,73.46,62.83,81.82
Neenah,"27,629.00","$7,000,000.00","$2,800,000.00","$1,400,000.00","$1,000,000.00","$200,000.00",$253.36,$101.34,$50.67,$36.19,$7.24,3.57,4.26,7.23,11.01,8.74,7.07,9.66,4.98,10.41,9.80,11.46,8.19,4.56,4.44,4.15,6.57,75.65,64.85,82.01
